,sentiment,content
1582,happiness,found ride yes liquor come
1583,happiness,dance gavin dance attack attack a skylit drive tonight exciteddddd
1584,happiness,omg mummy bought ice cream
1585,happiness,got bit neckache going hard not going home alternative night mean to nearly
1586,sadness,sisser moving tomorrow make sad actually guess technically couple hour since already friday
1587,sadness,jacobmaestas think ever one
1588,happiness,efteling great nice time family dinner forget key car hmmm bless anwb back germany
1589,sadness,karleemay kelly horror movie obsessed esp campy s film troma wish work tomorrow
1590,sadness,decaydance nothing
1591,happiness,drink pm leaving shop medium light coffee frappuccino nom nom nom
1592,happiness,home tonight much fun goodnight twitterbugs
1593,sadness,supernatural http twitpic com k awwww poor boy cry sad
1594,happiness,followed compliance great watch say now
1595,happiness,sunburned face amp leg fixing arm tooo
1596,happiness,am wanna wake up shoo roommate shoo
1597,sadness,dam finished watching prison break final break omg dont think cried hard show finally understand finale
1598,sadness,rained ever day miami since here
1599,happiness,degree tear happy moment http mypict me zpf
1600,happiness,used last dvd r window iso next batch lightscribe dicsc want see work
1601,happiness,smoking maryjane favorite thing speaking ima name daughter maryjane lakoda lakoda mrijuana latin lt
1602,happiness,hannahsukter anywayss point dying spend summer somewhere hot guy
1603,happiness,ilanrubin freaking awesome job tonight seem really lot fun picture wanna send you
1604,sadness,nobody write
1605,sadness,mediatemple mt awful ftp service
1606,sadness,beautiful day today love sunshine missing man though away weekend xxxx
1607,happiness,ton update including pic rob yesterday check www robsessedpattinson com
1608,happiness,yay jumeau bag giveaway instantshift bag pretty maybe belt see
1609,happiness,listening band recommended sarrah really like friday night boy lt
1610,sadness,pilmorelee beggar making feel homesick
1611,sadness,like waiting
1612,happiness,got subponea
1613,happiness,b luca lol glad see one there
1614,happiness,decadentdecay chica two day want u elle too
1615,happiness,sunday morning realised im film snob said msn entertainment
1616,sadness,im slowing tweet cuase lost phone
1617,sadness,falselove oh that s good top are haunted house sound one bakery inside ralphie s body amp forget
1618,happiness,u friendster add me email adress add loco crime st yahoo com add leave comment
1619,sadness,ex make cry wish stronger
1620,sadness,heritagesoftail hahaha miss bradddd guy keith
1621,happiness,covering portfolio send dream job ny send good vibe
1622,happiness,toffeetfb wa great day
1623,happiness,aboutlittlerock wow mhenslee constantly ranting love genghis grill too never there colorado
1624,happiness,wango tango good night
1625,sadness,kylehamilton wow saw tweet proflowers fiasco that s fun
1626,happiness,hmmm thinking taking back feel better morning think spoke early
1627,happiness,starbucks farrah
1628,sadness,jerryaz definately hard time cuz young amp never saw this wrkd hard making car amp disabled
1629,sadness,sell medieval trading pavillion v sad
1630,happiness,made south korean email pal happy
1631,happiness,almost dun choreographing dance
1632,sadness,duncan finally got order leaf iraq september open invite stay anytime year gone
1633,happiness,http twitpic com jdkq got new belt sheriff star
1634,happiness,oh andremichelle s birthday happy birthday andre michelle
1635,happiness,yaaaawwwwnnnn thx bank holiday let s see today prepared u
1636,sadness,brookeleeadams gutted live office girl anymore
1637,happiness,scottrmcgrew honey great health
1638,sadness,jodywhitesides sorry missed it
1639,happiness,feel accomplished got lot done today http plurk com p stns
1640,sadness,nite tweeple tomorrow day work
1641,sadness,leg fucking sore foot hurt walk whataday
1642,sadness,hot shower make everything better need sumbody tuck in ugh miss gramma
1643,happiness,frozenthesword yay hope day work wonderful si bank holiday england today everyone work
1644,sadness,gonna life good exit hallway stuck world
1645,sadness,oh no read going remake girl wanna fun stop hollywood just stop
1646,happiness,filce haha know cant handle fame thank you
1647,happiness,turch aww congrats family send piccies email
1648,sadness,jennjolie yep b automatic u fall someone person or smthng like that way suck
1649,happiness,westendactress haha miine
1650,happiness,twikini enjoying sun
1651,sadness,micahjosiahd really going miss
1652,happiness,hit leaving conti boooooooo
1653,happiness,jefftracey forward starting teaching new student hypnosis plenty laugh sure
1654,sadness,ugh delivery postponed shes baby til work
1655,sadness,gonna cry went bad history test really hate history
1656,sadness,good morning kid going back school sick day looking forward productive week happy monday
1657,sadness,feeling great today
1658,happiness,wishing everyone blessed amp beautiful mother s day
1659,sadness,many good show coming money buy ticket fmfl brand new troub
1660,happiness,louiiseeeeee lmfao omgosh first heard song you i felt like gonna pee myself omgosh waltzer man lol xoxo
1661,happiness,thanks raspberry laced vanilla cake
1662,sadness,suncito hi there got comp early last nite saw u feeling well hope u r better
1663,sadness,love movie grease can t believe jeff conaway guy played kenickie so sad see celebrity rehab
1664,happiness,ughhh think plan ruined excited too
1665,happiness,got done working out relaxing work
1666,happiness,welcoming cimmarongirl proud
1667,happiness,sold bike faster expected running size luckily single speed ocean now eta eo june
1668,happiness,maddiewan maddie start working watch world
1669,happiness,paigeebaby hahahah lols fun aye div experience love spongebob l
1670,happiness,xanthetwirls saw ur chance else would name think b missing nite too thank god youtube
1671,happiness,tifftiff sad glad
1672,happiness,monicafrancesca congratulation woootwoooo ginoboi great game nakaka hyper kayo
1673,sadness,epiphanygirl man missed it ive waitn day u giv tix away amp whn im rappn wrk u gav tix away im sad
1674,happiness,another amazing day ever since got twitter great day
1675,happiness,good morning everyone
1676,happiness,sunday morning bird chirping hoping best praying best
1677,happiness,good morming sunshine beautiful day last day class me
1678,happiness,woolsery morning hopefully see north molton u clinch north devon league title lovely day
1679,happiness,ninaaacooperrr come love you last week need see me hot
1680,happiness,playing d j ray s ride way delish sushi
1681,sadness,hellenbach geek stepson live nanny love bgt can t stand it watch tv upstairs alone
1682,sadness,mummy need
1683,happiness,markman happy mother day mark
1684,happiness,http twitpic com w operation happy mom success
1685,sadness,mad im going missing maine tomorrow take effing day fly florida
1686,happiness,omg again buying dvd yeahness another good movie also thanks movie buddy
1687,happiness,ohemmy lol hi emmy latin would help study aptitude test get grad school thats wanna take
1688,happiness,lindzluvsnkotb going cruise wish wa going vacation thanks though
1689,happiness,bos night out
1690,sadness,good day
1691,happiness,lovliest night last night ruined doctor inability warn side effect back test
1692,sadness,going fail art final fml far worst semester life school wise otherwise best
1693,happiness,cydonian why enjoy fancy meal smtimes thr s joy solitude u really enjoy food amp lk date world
1694,happiness,shout sanjeev thank first follower twitter
1695,sadness,loved sun today love black suit black top plus train tube get meeting back need shop summer
1696,happiness,chillin christina diana
1697,happiness,annalisaceccato hey thanks mate cool coz watched it
1698,happiness,got home dinner mommy new grandma rather hollywood right
1699,happiness,cadistra ah brilliant thanks bunch
1700,sadness,fuuudge movie store closed
1701,happiness,davidarchie awoooogahhhhhh heheee hope get decently priced breakfast real quick david
1702,sadness,excited visited twin best friend dinner star gazing movie cool http gykd net
1703,happiness,happy star war day im going make pasta get showered dressed watch film like day off day
1704,happiness,somebody smuggle sydney slave eternity
1705,sadness,much blog time
1706,sadness,back park sunburnt cant wait totallywiredm night and gonna get smashed bein sober jst wnt b fun
1707,sadness,movietfan well completely lame sorry dude
1708,sadness,mjh know man day pulling bed
1709,happiness,woke hiccup came back
1710,sadness,eminem can t wait that recently bought metallia guitar hero cant play coz sony tv went kaput
1711,sadness,mspixieriot suck wish could get cheaper montreal there s cool shop carry there
1712,sadness,maidmirawyn supposed go tomorrow tooooo use gas ticket money pay car inspection fee
1713,sadness,babymakes no lost link sent pull battery
1714,happiness,macpowell awake happy
1715,happiness,normabecerra washer se chingo ha ha busting grandma lucia waaaaay back early s lol
1716,happiness,snl hosted justin timberlake startssssssssssss now woohoo
1717,sadness,apstylebook know need thing life constant
1718,happiness,diamond compï¿½tition yaayy tomorow diamond dance best still montrï¿½al
1719,happiness,usual two family party today happy birthday lily http twitpic com w
1720,sadness,could message cheer robynlouise leahstakes misskeribaby jewlear celenko sarahbeeny beverleyknight
1721,happiness,lilcdawg run cpt
1722,happiness,http twitpic com wgoi bus boy poet ordering medici white chocolate banana bread pudding kspidel
1723,sadness,birdsall sorry that got behind follower still catching up follow folk including
1724,sadness,kvbuckley know enough sotomayor made big boo boo talking making law know branch do
1725,sadness,already miss cmontecillo
1726,sadness,andypiper aquired new oppertunity sorry support mac tell
1727,sadness,saying good bye ronald today difficult sad well miss yuu
1728,happiness,jimmymarsh awesome job last night
1729,happiness,thefifthsister happy came said hi twas nice meet indeed thanks much coming talking
1730,happiness,christian mobile directory running month old visit http tiny cc caribdir
1731,happiness,sang quot shine quot newsboy car hollyewallace holla
1732,happiness,watching video facebook make feel like biggest creep guess am also tweet woohoo
1733,sadness,home ill work man flu hell
1734,sadness,lonely need company
1735,happiness,mizhalle http blip fm jbp
1736,sadness,sunflower seed dude say
1737,sadness,rip big cup miss
1738,happiness,hey elliotcole thank much followfriday failed miserably get list together week
1739,sadness,bed bed bed samuelasanders never answer text anymore thought day sent one never heard back sad day
1740,sadness,made little cover iphone bird upside back http twitpic com tp amp http http bit ly fjeam
1741,sadness,wish get least day off row day enough rest day on day off day on day off ugh
1742,sadness,waiting table exhausting foot sore note self never become waitress also kudos george awesome tri tip
1743,sadness,yan ming affascinare gg summer sch though attachment yan go see blog check msn ask kinny
1744,sadness,smart car worthless car ever made amp make sad many see anymore
1745,sadness,good mood mama s away si can t talk either boy can t see weekend planned
1746,sadness,prncsztalia hate me
1747,happiness,rosiecosy thanks sympathy bad hour ago started thinking appointment tomorrow
1748,sadness,can t bothered working tomorrow
1749,happiness,jenrolton awwwww would virtual high five make better
1750,happiness,jmascia yay found u great time tonight
1751,sadness,andyschwartz nah actually sleep data recovery place called woke
1752,happiness,everraven figured bouncing
1753,happiness,tagscats thanks know happens awhile
1754,sadness,sorry tweet bgt poor wonderful crazy weird greg fair silly little girl never going cope urgh fair
1755,sadness,thebeckyanne giving si show crib sunday incredible jewelry designer gone
1756,happiness,merlene cool figure tweeter club
1757,happiness,msnewappearance hey thanx following me follow
1758,sadness,vagabonddandy bad
1759,sadness,moving nothing accessible camera broken kitchen stuff box internet make hard cook blog get brooklyn
1760,sadness,loving new skype especially someone like life half world away home
1761,happiness,bluevolvic awesome keep look it
1762,sadness,get boy doc persistent cough good http plurk com p xt
1763,sadness,coecobroker still recall helpful way back struggled ar contest question
1764,happiness,magic rafi singing shammi kapoor
1765,sadness,watching jimmy f delete social network profile jimmy cyber time
1766,happiness,breakfastnews ets endoscopic thoracic sympathectomy invaluable surgical procedure
1767,sadness,missed justin snl aghhh started love again yes one week
1768,sadness,saying goodbye papa
1769,happiness,ton fun w muffin today
1770,sadness,disappointment really suck getting used it
1771,happiness,teacherpaddy hey padster it s dirt track thx info got mile
1772,sadness,sweet dream i m tired excited might actually get golf morning family tradition
1773,sadness,bed rest weekend next week neomonia suck
1774,sadness,sashaostrikoff miss
1775,happiness,morganmartinez dream hanging friend good woke there
1776,sadness,found book starting real paper bound journal tonight annoying zit lip make look like herpes
1777,happiness,goooooood morning
1778,sadness,sara luna everything donï¿½t know explain simply itï¿½s patetic
1779,happiness,marykayte lucky still want blue one
1780,happiness,walkaboutgroup fun guy day behind
1781,happiness,best lazy really productive day ever many option lay ahead me job prioritize thank u universe luv dd
1782,happiness,commander cool yep here s hoping
1783,happiness,mrmarketingman thanks movie review
1784,sadness,nicsey snap know feeling well
1785,sadness,dreading hearing even worse news tonight
1786,sadness,okay feel really sick
1787,happiness,way home ny then sleeping
1788,happiness,well bed cant wait party mother s day like hour
1789,sadness,school tired didnt hear text last night lol still tired love jesus christ
1790,happiness,bank holiday happy know clap hand
1791,happiness,happy mother day
1792,happiness,maxcarver hey im fan new zealand loving show even tho soooo behind episode haha keep good work
1793,sadness,hot thermometer showing c moment
1794,happiness,werewolfseth well must say lucky you guess mean chillin concert huh
1795,sadness,neo kryptik usual application checking status reading stuff that s wel arbit etc
1796,sadness,meiko time morning go way across town take pic so sad
1797,happiness,jackieshimamoto love cobra starship thanks suggestion
1798,sadness,fell think knee broken look fabulous
1799,happiness,emma bmth also want attend tafe gig asked mum soundwave like hmmm possibly probably mean yes
1800,happiness,shortyyyy curtain two rug make bathing exciting hahaha
1801,happiness,happy mother day mom
1802,happiness,break packing watching office pam quot i woken up look cute that s knew meant it quot
1803,sadness,greg pritchard robbed place final bgt cry baby bitch face got instead
1804,sadness,saranw thank you know happy sad all time know that got quot the right stuff quot
1805,happiness,okay really going now stop making laugh like that
1806,happiness,light bike sound good hahaha
1807,sadness,justwatched depressing episode jon kate ever i actually almost cried
1808,happiness,skybluetom ha ha thanks tom loser hopefully going nd june till rd july what date u goin u missing helen x
1809,sadness,afey umm abt comment like p quot i dont like this quot
1810,happiness,juicebox know annoying be there german saying pleasant anticipation greatest pleasure own translation
1811,happiness,miss mcfly last night much front row centre danny making laugh much lol
1812,happiness,jtsui wish could sat thats super busy day sunday perhaps playing football dolores park too youre welcome come hang
1813,sadness,so woke time work boo
1814,sadness,mfarrugia never good platform game
1815,happiness,roflwolf yeah basically awesome
1816,sadness,stuck long as traffic motorway i m gonna get home pm tired
1817,happiness,m delamerced judge answer fid duty tort lawyer u r good this it like oj trial done
1818,sadness,torilovesbradie last thursday yesterday suck missed lunch time ox
1819,sadness,shower taken room right bed yeasterday shower balcony sea wiew bit nicer
1820,happiness,quot nappy s quot da new quot n quot word by da way ilove quot nappy quot braid igot quot hang time quot homie lol
1821,happiness,happy mother s dayyyy
1822,sadness,want face somatic drawing david lanham want leopard theme somatic theme im sad im big fan
1823,happiness,waking early go gym
1824,happiness,hey star sending florida sunshine way supertramp ï¿½ raining ï¿½ djdolcevita m http blip fm jucn
1825,happiness,long day work stood home sleeping another long day work tomorrow amp happy mother day mother
1826,happiness,enjoying lazying around eating rose chocolate x
1827,happiness,silverarcheress ah ok thank youuuuuu
1828,sadness,cd player car broken much listening kidz bop happy meal cd
1829,sadness,eeks wish nowww grrrrrrr
1830,happiness,bertgoethals cool used live house left place always something going p
1831,happiness,starryeyedsoul meeeee sound delicious
1832,sadness,ugh id better get work
1833,sadness,bad day
1834,happiness,drew haha want another bagel blueberry cream cheese left bagel
1835,sadness,beateveronica jealous would love deer steak one downside almost vegetarian carnivore living together
1836,happiness,ceramicheart heart sings
1837,happiness,cassowaryjewel excellent point
1838,happiness,liking window release candidate far also liking new video card terabyte harddisk
1839,sadness,accounting class detention
1840,sadness,kyle newman called sold out bummer next time
1841,happiness,want watch naruto shippuuden missed episode
1842,sadness,impala guy hello iï¿½m back hope happens occasionally wednesday
1843,sadness,going engagement party tommorrow night mine not stepping soapbox
1844,happiness,mcflyyerr yeah that s trueee can t wait till tour dvd come out tour epic backstage material hilarious
1845,sadness,mile away
1846,happiness,mathewdavid iknowww many people know tho like keep little secret
1847,happiness,bloodhoundgang aww that s awesome good guy
1848,sadness,yasminegalenorn depressed already isnt want book
1849,sadness,happy dont know reason
1850,happiness,elysion make friend real life internet ever level people comfortable with
1851,happiness,delicious sushi niko niko vermont hollywood mm
1852,happiness,domsofresh bl muthafuckin ah win
1853,happiness,algibbs thanks that learned something new today enjoy
1854,happiness,brandonsmithceo wow that s look really good wish some good
1855,sadness,laylanatalie nowhere babe ice come job morning sigh
1856,happiness,actually skype ssshh tell anyone
1857,sadness,nursebettie meanest lil boy ever lil girl everyone loved
1858,sadness,ultramegaman never done friday digest today anomaly usually schedule friday leave time it
1859,happiness,enjoying bank holiday meeting real estate agent offer amsterdam apartment rent
1860,sadness,today day can t seem feel better dont eat im hungry eat feel like im gonna sick blah
1861,happiness,aub dang too hour drive bad daughter st bday party hosted donnie
1862,sadness,today wrote two song one temple probably never perform ever one mother day happy vesak everyone rena xoxo
1863,happiness,leg still numb journey atlantis coldness buttt awesome day
1864,happiness,new favorite group j davey hi amp low shit really flygroups come miami hell florida rock bell
1865,sadness,good news flat great regulating temp heat bad news sodding lovely outside working
1866,sadness,slept in woke iced coffee lazed amp went late lunch bf sweet little laid back saturday
1867,happiness,finally going bed everybody whatever doing blessed
1868,sadness,askfrasco ooh fine ya know toooo late sorry dat
1869,sadness,overwhelming finally catching cousin bff since three seen year ah memory miss
1870,sadness,locked house shit thank god there s internet
1871,happiness,ferretprincess hey miss jane you go film hope good family
1872,sadness,stuck going nd job can t find good office job
1873,sadness,artfuldodga love it sakey usb stick gb australia
1874,sadness,allankent andywalton oo oo must compete let login work email see top
1875,sadness,watched marley amp me i cried hard
1876,happiness,sambennington hey samantha welcome happy mother s day
1877,sadness,oh one monitor act deadline oh unhappy camper
1878,sadness,iamchrismann sick stupid guy moment u make believe suck get back reality
1879,sadness,received phone call new patient i guess mean work tomorrow
1880,happiness,jamesscholes yes copyright exemption apparently trying ensure rest world have sccr
1881,happiness,home work good night epic dude dudettes
1882,happiness,morning darlin dahilster hope feelin tip top http blip fm zzs
1883,sadness,thursdayband can t even call belgium suck
1884,happiness,clonecommander everything better lightsabers
1885,sadness,ipod came back visit cali china alaska but home im work
1886,happiness,cherryblossoms yeyyyy maddy fabuloussssss god bless
1887,sadness,wow woke read drew blog oh man im seriously cry right
1888,sadness,went athletics carnival today tired tired hurt back jumped second time high jump
1889,sadness,jazzy miss neice can t wait see bad n grown as lol
1890,happiness,ladyredcrest miss hazy safe trip indy home
1891,sadness,ftskirstin im depressed like baddddd
1892,happiness,t g i friday favorite people ever made reservation like people here hahah
1893,sadness,meganduffy aww miss u too ate
1894,sadness,jessiemayumi shame job thought working yourself there s big money paid http bit ly ml
1895,happiness,alidg take you fun
1896,sadness,anyone know watch prison break tv movie itunes
1897,sadness,wish jonathon ross audience right
1898,happiness,add let play something
1899,sadness,cleaned four bathroom afternoon yes go ahead feel sorry me lol mine still waiting attention
1900,sadness,chrishornby very ill attempting remember lot nothing going in
1901,sadness,asdquefty yes are gone enjoy yours
1902,happiness,gkwo did didnt really watch haha
1903,sadness,oh miss truck could whole place moved now
1904,sadness,mickster rub in
1905,sadness,sadly bprohibiting tweeting tonight sorry
1906,sadness,he back oh no missed me work insane band really taken moment
1907,happiness,agcruc girl part tour would seriously first line ticket sayin
1908,happiness,questcon gave great smile nice way end day right
1909,sadness,hmxcasey sorry
1910,sadness,kaliie sorry lol about waitt think mum would still let bday stuff weekend
1911,sadness,sarahfenn prefer overcast day too sorry hot are
1912,sadness,glennbeck husband loosing goverment job due downsizing he looking new job can t find one small town
1913,happiness,really wanna play
1914,happiness,much happier despite looming departure
1915,happiness,opinionatedant great weekend mononoke may tweeting inside movie theater either monday tuesday lol
1916,happiness,beach time
1917,happiness,scodal yeah saw look like hard work would know whats upp handsome
1918,sadness,boo season finale
1919,happiness,quot leave piece quot wrecker hmm
1920,happiness,heat here
1921,happiness,bellabkny thanks support kept updating help
1922,sadness,queetsss thanks babe guess find right person one day til better alone
1923,sadness,amyxstftk actually really do mostly forget take makeup bed
1924,happiness,can t work twitter phone bed thinking funny stuff last night l good time
1925,happiness,im glad make sumone smile
1926,sadness,dangerjoe hey mr danger
1927,sadness,whopee tgif fun job
1928,sadness,djcrmix raining every single afternoon s florida fair hehe
1929,sadness,shaaqt primaveron mast ladki patata hai chal jiske sath bhi jaye khush rehna will miss u love twpp
1930,sadness,head ache tom s call time really early show start pm recovered like photo already go
1931,sadness,there much light pollution see star
1932,happiness,viviatthedisco good luck first day
1933,happiness,emjaystar haha thanks yep definately dream come true excited camera shaking taking photo
1934,sadness,party wiped dead stuff
1935,happiness,heycassadee super excited bought tix see hey monday again svetlana j denver co
1936,sadness,head hurt
1937,sadness,adam lambert version feelin good head miss idol already
1938,sadness,tanyaahedo know drizzling way work hope warms weekend
1939,sadness,bed gonna read new moon little late night night xxx
1940,sadness,miss talkin turkey really miss talkin turkey
1941,happiness,robinmeyers look like full lincoln marathon yesterday awesome hm tough
1942,happiness,omg supernatural good news week
1943,happiness,coleryanxxx yes lol that s good one remeber bottom always top
1944,sadness,jjanebb include getaway music fail
1945,sadness,kathleen bee coincidently friend cancelled movie date
1946,sadness,pinkbunny awww thts good hun i m worst day sick
1947,sadness,came home thinking maybe something good eat apparently not
1948,sadness,can t comment directly someone alone
1949,sadness,feel like fish im big glass car dealership looking world people walking fun sun im stuck here
1950,happiness,subway always taste better some one else pay http tinyurl com resh
1951,sadness,koifusionpdx another day find you ended trying another cart can t remember name sigh
1952,sadness,jonashelford kewl got iphone gotta hope last weekend got shuffle might bring anyways see ya am
1953,happiness,great dinner wonderful girlfriend
1954,happiness,sabrina yes cant wait hope vip pass help since people already campin hahah
1955,sadness,thespencersmith part religion called people with good taste in music celebrate jonas brother day
1956,happiness,no really do long exposure tripod looking viewfinder unfocusing great
1957,happiness,roxy right palmade stuff pretty cool
1958,sadness,zo e aw well im sorry like july reason
1959,sadness,get job stuff magazine dammit would amazing oh well
1960,happiness,cheadlek another one coming later week westlife dvd trademe one after
1961,happiness,goin bed finally sleepy happy mother day
1962,happiness,davidarchie haha same gonna awhile til come sweden think
1963,sadness,jthaessica yeah dnt go there dif apps phone sad reason lol
1964,sadness,darn it again keep forgetting darn quot d quot dm s
1965,sadness,finished exam almost moved hall leaving london tomorrow
1966,sadness,thevowel d version suck
1967,happiness,welcome nephew christian world
1968,sadness,itsonlytuesday would working today
1969,sadness,smackdown lot boring without maria
1970,sadness,actually hot today the sun got hat every one got tan except
1971,sadness,work huge headache
1972,sadness,home sore foot sad sale grandas house went through miss
1973,sadness,kat yeah done work weekend sooooo bummed
1974,sadness,crypticirnangel thats bummer got one yet waiting year grrrrrrrrrrrrrrr
1975,happiness,beautiful monday morning happy http myloc me tct
1976,happiness,vogleratmizzou yay breaking
1977,happiness,tomboytigress thanks sweet dream too
1978,sadness,jonasbrothers saw webc awesome loved song im sad cuz couldnt wake early started am
1979,sadness,eprussakov ohï¿½ unfortunately
1980,happiness,taking mum lunch mother day
1981,sadness,dorkybarb currently penguin mn zoo go sometime soon
1982,happiness,aubergine still plenty food left here thanks coming over can t wait see picture came
1983,sadness,well that s last fabs gone
1984,happiness,carocat nooo hey back next week moving back good
1985,sadness,thewbdotcom sadly can t view site due region restriction
1986,happiness,jesssev dawg thanks much
1987,happiness,pcsketch actually wanting buy bus one day amp turn motor home imagine whopping big blokeslib logo
1988,sadness,captainflashman oh poor you
1989,sadness,akdb tell
1990,sadness,want transfer naini trip picture my comp upload thm web bt dnt hv usb snt via multimedia r pic expnsiv
1991,happiness,good day lake mirror kid happy get clean cabin today err two outta three ain t bad
1992,sadness,cant find key
1993,happiness,lunch with me eat alone soo long oh well
1994,sadness,phew melting stupid fan picked good day stop working
1995,sadness,opheliapunk nothing sad actually
1996,happiness,celebritystatus wifeyyyyyy likey u siky
1997,sadness,look like twitter
1998,happiness,jae aha thanks jae
1999,happiness,goodmorning tweedles happy mood think always past weekend lol vids beyonce weeknd coming soon
2000,happiness,wendywings cute time twitpic
2001,sadness,travistubbs already fan hulu bad there s bigger internet selection netflix thought would easier
2002,sadness,thinkgeek curse upon ridiculously slow internetz work dang image loaded
2003,happiness,realbillbailey really made night infact made weekend well done
2004,happiness,omg hollyoaks well dramatic
2005,happiness,anyone go photographing today managed get macro shot flower blooming
2006,sadness,still freakin missing game jonasnewsongs
2007,sadness,emilyhall awww bless indeed coming day woooo you
2008,sadness,fuck kind bug house dont know
2009,happiness,yay playing scattegories random joel may amp sherman
2010,sadness,dutchcowboys huh pr
2011,sadness,super pumped quot relay life quot tonite walking honor sweet grandpa uncle howard past yesterday
2012,happiness,chatted old schoolmate awww miss highschool
2013,sadness,xxxmaggie oh suck sorry
2014,happiness,looosie agfest pretty awesome load people lol
2015,sadness,low profile tire suck size monday
2016,happiness,spinachpuffs yeeeeah intro seen empire top computer game http www empireonline com
2017,sadness,booo best friend leavin weekend ever without her
2018,sadness,alyssa awww sorry kind fish have
2019,happiness,morganh thanks great night dear perfectly completed weekend
2020,happiness,aahhhh new pic new moon brill think wait month
2021,sadness,money phone
2022,sadness,im sick youre sick imy
2023,happiness,regarde le tant attendues photography
2024,sadness,maybe wrong week could stayed good
2025,happiness,leoncen it hehehehe u want torrent
2026,sadness,crossing bridge leaving ocean city sad
2027,sadness,freezing cold cant function right type weather starving max
2028,sadness,emmyrossum ah hate happens race erase m week going
2029,happiness,eating chatting computer really bored think going tea haha listning s music wooho lt
2030,happiness,bella im going inlaws tonight hopefully new niece there need kid inlaws me
2031,happiness,happy clean squeaky clean
2032,happiness,farm enjoying cary ann loving company
2033,happiness,jessmcflyxxx would idea haha xx
2034,sadness,adamastorlx ohyeahhh hate heat http twitpic com a
2035,happiness,heyitscheryl ooh like what planning spending night well
2036,sadness,see me point laugh ugly
2037,sadness,got as kicked tripoly lol got bad card suck
2038,happiness,parrrtty playing twister getting tipsy well everyone else lol
2039,sadness,suppose get go find sumthin wear tomorrow can t get
2040,happiness,awesome lunch family amp dinner in law
2041,happiness,netmogul actually play keyboard pohaku lol played st bday earlier spinning shack
2042,sadness,jonjordan wt glad hear it though missing watching outside igloo day
2043,happiness,leowolfe haha night man no im sure meet lifetime fact will no doubt it
2044,sadness,awww lil girl bgt said didnt time soo sad huggin
2045,sadness,message songoftheoss could let people know booted
2046,sadness,marvelvscapcom doesnt work already
2047,happiness,mikeyallstars like mind evening dear
2048,happiness,star trek grtsat bggeting drunk
2049,sadness,mrsucre lmao sure did luck though
2050,happiness,meeting stranger lol alone vega amazing
2051,happiness,emmacl thanks
2052,sadness,got home hospital another clot leg
2053,sadness,porn store forgot put dave ipod fail
2054,happiness,contrarygirl hoooray hooked already
2055,happiness,everbrandy look like fun
2056,happiness,bank get thing rolling hooray day off
2057,happiness,narelle nz busy fun mother s day thanks got wanted a wii fit yay
2058,sadness,couch hungover don t expect much today
2059,sadness,disney dreaming what miley s gonna quit hannah montana i wanna believe it
2060,happiness,singing along mychem
2061,sadness,really mad forgetting may deadline mile award trip south america unitedairlines
2062,sadness,akavirtualpa everything nothing hmmmmmmm
2063,happiness,tiesto vicky park excellent
2064,happiness,morning workout sesh love life
2065,happiness,meredithhawkins aww nice
2066,happiness,heffabella dont know u heeeeeeey name shannn extends hand put er there u from
2067,happiness,xxcharrrs aw anytime boo realized need fun guy change pic poofy hair one
2068,happiness,csi ny come back au sex lie silicone se evryone east coast tune tonight pleaseee
2069,happiness,lilmoxey yay full term
2070,happiness,welcome new follower also
2071,sadness,really sad shes missing critical mass
2072,sadness,lynnftw know exactly saying cool tape better p
2073,sadness,peapodann second hit reply tweet asked stop playing music sad someone sing me key work
2074,happiness,well rowing machine paid week lost lb week
2075,happiness,good morning peoplee look like going nice day today better last week raining
2076,happiness,karriedaway look sooooo pretty love dang wish ny could c u ur thang
2077,sadness,happy mother day going zoo wake oh god noo
2078,sadness,rolling bed past hour still unable sleep
2079,happiness,shakedxit save
2080,sadness,happy mother day
2081,happiness,weather lovely headed home via supermarket planning spend quality time knitting tonight
2082,happiness,beautyholic woohoooo both retail therapy surprise visit two thing love
2083,sadness,shoe me
2084,sadness,wishing outside instead trapped office
2085,sadness,anhhoang sorry posted vid again load me
2086,sadness,poynterjones join jealousy l
2087,happiness,good morning tweeties today rested richmond ready hit beach
2088,sadness,bad day work s stressful been involved minor accident everything s ok far cut immediately
2089,happiness,man thing would chng vega british boy wayyyy hot
2090,happiness,redrosepetals god bless oh so sexy rahul picture
2091,happiness,tom conrad take good photo
2092,sadness,disappointed forgot tweet something really inappropriate graphicphantom yelled whole food yesterday amp can t remember it
2093,happiness,sarahhlouisee thankyou ur night
2094,sadness,hate bff groundedd boooooooooo
2095,sadness,bigkelleh know can t
2096,happiness,girsl night way foam party sleep tonight
2097,sadness,forget much miss tribe til limited access talking them spotty internet country long
2098,sadness,trying install vodafone internet key eeepc remember worked box today want work
2099,sadness,little thing always cherish you
2100,sadness,sexxieluv dang just far away i darn dream
2101,happiness,typezero hehe until come back fb friend get twitter respite huh jk
2102,happiness,assembled ive haha
2103,happiness,hstreet always good see even cyberspace
2104,happiness,tomorrow warm day reason like sun much xd go swim d that s better xd
2105,happiness,mollymazy aww happy mother s day girlie kingston lucky great mommy
2106,sadness,lost one best friend iï¿½m sooo sad
2107,sadness,daynah work iphone yet love simplicity need able sort task iphone useful
2108,sadness,hungry if arm core diet would eat it guess wait dinner ready
2109,sadness,darkmornan disappointing
2110,happiness,moving today excited
